ndcg5,ndcg10,hit5,hit10,spearman,js,clr_rmse,model,fold
0.2502581610403421,0.3091006744658648,0.11188811188811189,0.21538461538461537,0.265747549811812,0.1453519516181091,9.519126646408065,Baseline,0
0.2690317349045816,0.2891305391560405,0.11328671328671328,0.1804195804195804,0.25390061780779577,0.13398359724353928,,Ridge,0
0.5842620164015817,0.6460993632848867,0.42937062937062936,0.5643356643356644,0.5984173545029954,0.06870382226115695,,XGBRanker,0
0.2690317349045816,0.2891305391560405,0.11328671328671328,0.1804195804195804,0.25390061780779577,0.13398359724353928,,MoE,0
0.3093566910752151,0.37029308649240045,0.16083916083916083,0.25244755244755246,0.3350842516214656,0.1323844382364462,9.171023646879325,Baseline,1
0.3695581867068602,0.3866977941567671,0.2097902097902098,0.2608391608391608,0.33840944601850803,0.11846840134830616,,Ridge,1
0.6707425900586815,0.738746035671051,0.5510489510489509,0.6209790209790209,0.604244514130259,0.06513030401962812,,XGBRanker,1
0.3695581867068602,0.3866977941567671,0.2097902097902098,0.2608391608391608,0.33840944601850803,0.11846840134830616,,MoE,1
0.3611776523917032,0.4004584958750228,0.15104895104895102,0.21328671328671334,0.3426288276407287,0.12735355325252326,9.251965669501018,Baseline,2
0.42715258024677333,0.4041247477455317,0.22797202797202792,0.20209790209790213,0.3098881598799192,0.11857981646114266,,Ridge,2
0.6267429205324143,0.6712363596952335,0.4573426573426574,0.5216783216783216,0.5504804594416401,0.07536216914733038,,XGBRanker,2
0.42715258024677333,0.4041247477455317,0.22797202797202792,0.20209790209790213,0.3098881598799192,0.11857981646114266,,MoE,2
0.36294459326023426,0.40624261000002987,0.1664335664335664,0.2475524475524476,0.33248983998480885,0.1250786472289342,9.39039358097067,Baseline,3
0.37513885364097416,0.37646021385765205,0.20279720279720276,0.23146853146853144,0.3251413642421396,0.1172749867541526,,Ridge,3
0.633964668852914,0.6847627899131215,0.46153846153846156,0.5517482517482517,0.5545854420551917,0.06877878075744744,,XGBRanker,3
0.37513885364097416,0.37646021385765205,0.20279720279720276,0.23146853146853144,0.3251413642421396,0.1172749867541526,,MoE,3
0.34358512383737216,0.40118356384092957,0.15915492957746474,0.25704225352112675,0.3628962112971454,0.12612445521909682,9.351181202730864,Baseline,4
0.3896397545625779,0.39300670292196793,0.21267605633802814,0.23098591549295772,0.3440449402412611,0.11572936138912526,,Ridge,4
0.6687180346603561,0.7043581725566264,0.47183098591549294,0.5429577464788732,0.5694949180033217,0.06806659547896973,,XGBRanker,4
0.3896397545625779,0.39300670292196793,0.21267605633802814,0.23098591549295772,0.3440449402412611,0.11572936138912526,,MoE,4
